island,region,old_region,year,beekeepers,apiaries,hives,hives_beekeeper,apiary_beekeeper,type
South,Otago_Southland,Invermay ,1996,533,4030,50210,94.20262664,7.56097561,all
North,Whangarei,Whangarei,1997,1135,2647,3022,2.662555066,2.33215859,all
North,Hamilton,Hamilton,1997,522,2893,39692,76.03831418,5.542145594,all
North,Tauranga,Tauranga,1997,518,3242,47964,92.59459459,6.258687259,all
North,PalmerstonNorth,PalmerstonNorth,1997,1333,3831,37055,27.79819955,2.873968492,all
South,Blenheim,Blenheim,1997,469,1986,22894,48.81449893,4.234541578,all
South,Canterbury,Lincoln,1997,790,5294,58452,73.98987342,6.701265823,all
South,Otago_Southland,Invermay ,1997,519,3861,51149,98.55298651,7.439306358,all
North,Whangarei,Whangarei,1998,1153,2619,31522,27.33911535,2.271465742,all
North,Hamilton,Hamilton,1998,511,2955,48722,95.34637965,5.782778865,all
North,Tauranga,Tauranga,1998,536,3029,46852,87.41044776,5.651119403,all
North,PalmerstonNorth,PalmerstonNorth,1998,1365,3770,39460,28.90842491,2.761904762,all
South,Blenheim,Blenheim,1998,487,1884,24102,49.49075975,3.868583162,all
South,Canterbury,Lincoln,1998,799,5024,58926,73.74968711,6.287859825,all
South,Otago_Southland,Invermay ,1998,505,3746,49337,97.6970297,7.417821782,all
North,Whangarei,Whangarei,1999,996,2359,30505,30.62751004,2.368473896,all
North,Hamilton,Hamilton,1999,475,2711,47092,99.14105263,5.707368421,all
North,Tauranga,Tauranga,1999,488,2854,49892,102.2377049,5.848360656,all
North,PalmerstonNorth,PalmerstonNorth,1999,1282,3719,41523,32.38923557,2.900936037,all
South,Blenheim,Blenheim,1999,447,1746,25405,56.8344519,3.906040268,all
South,Canterbury,Canterbury,1999,729,4836,59979,82.27572016,6.633744856,all
South,Otago_Southland,Otago_Southland,1999,497,3568,48592,97.77062374,7.179074447,all
North,Whangarei,Whangarei,2000,1168,3033,36086,30.89554795,2.596746575,all
North,Hamilton,Hamilton,2000,486,2800,49863,102.5987654,5.761316872,all
